,Question,Answere
0,What is meant by “essential travel”?,"As part of public health efforts to stop the spread of COVID-19, travel may be limited or restricted to travel deemed to be essential. Essential travel is defined differently by national authorities in different countries. Essential travel may include travel for emergencies and humanitarian activities (including emergency medical flights and medical evacuation). It may include travel taken by essential personnel (including emergency responders and those who provide public health technical support, and critical personnel in transport and security sectors, such as seafarers and diplomatic officers). Essential travel may also include repatriations to home countries, as well as cargo transport needed to deliver essential supplies such as food, medicines, and fuel. WHO encourages national authorities to facilitate travel for essential reasons at all times."
0,"If I feel well but am in the high-risk category, should I travel?","People in certain groups – including those over the age of 60, those with chronic illnesses, and those with underlying health conditions – face increased risk of severe illness and death from COVID-19. If you are in a high-risk group, you should consider the risk carefully before you make travel plans.Be sure to follow COVID-19 prevention measures, such as wearing a mask, washing hands frequently, maintaining physical distance of at least 1 metre, and avoiding crowded places and poorly ventilated settings whenever possible. If you are in a high-risk group and must travel, wear a medical-grade face mask at all times and step up your prevention practices. People aged 60 and over, and those with serious chronic diseases or underlying health conditions, should postpone or delay travel internationally to and from areas with community transmission unless they have been fully vaccinated at least two weeks prior to their travel, or have immunity from a recent infection within 6 months prior to travelling.  People in high-risk groups are at a greater risk of getting very sick or dying after getting COVID-19."
0,The travel company is asking me to wear a mask while traveling. Which kind of mask should I use?,"Medical masks are recommended for:Anyone who is feeling unwell, including people with mild symptoms such as fever, cough, sore throat or headache. People aged 60 and overPeople of any age with underlying health conditions, including chronic respiratory disease, cardiovascular disease, cancer, obesity, immunocompromised patients and diabetes mellitus.If you choose to use a fabric mask, WHO recommends the use of a well-fitting mask with three layers of fabric: Inner layer of absorbent material,      such as cotton.Middle layer of non-woven      non-absorbent material, such as polypropylene.Outer layer of non-absorbent      material, such as polyester or polyester blend.Remember that wearing a mask is only one part of important prevention measures, including washing hands frequently, maintaining physical distance of at least 1 meter, and avoiding crowded places and poorly ventilated settings whenever possible. Learn more about how to choose and wear a mask here."
0,Should I get a vaccine or immunity certificate before travelling?,"Before you travel, know the requirements and policies in place where your trip originates and at your destination. Every country has its own rules. Some countries exempt travelers who have been fully vaccinated or have proof of recent SARS-CoV-2 infection from certain requirements, such as testing and/or quarantine.During travel, even if you are vaccinated, WHO recommends that you continue wearing a mask, washing hands frequently, maintaining physical distance of at least 1 meter, and avoiding crowded places and poorly ventilated settings whenever possible."
0,Could I be screened when I exit or arrive at my destination?,"Yes, you may be screened when entering or leaving a venue, destination or country. Be sure to know what is required or expected as you plan your travel.Exit and entry screening may include measures such as interviews, checking temperatures and evaluation for symptom – including respiratory symptoms, fever, cough, or shortness of breath. You may be asked to provide information about any possible exposure you have had to people with COVID-19 symptoms or confirmed diagnoses."
0,Should I use a digital contact tracing app while traveling?,"Some venues, destinations and countries may request or require that you download and register with a digital contact tracing app. These apps collect information to identify and inform travelers who may have been in contact with a person who has been confirmed to have COVID-19."
0,Should I get a COVID-19 test before departure or upon arrival?,"Know before you go. Some venues, destinations and countries require COVID-19 tests prior to departure or upon arrival as part of their strategies to prevent the spread of disease. COVID-19 tests conducted immediately prior to departure or on arrival are used in an effort to determine the health status of travellers. As always, continue wearing a mask, washing hands frequently, maintaining physical distance of at least 1 metre, and avoiding crowded places and poorly ventilated settings whenever possible.Every destination has its own policies, so it’s important to be aware of testing requirements before you hit the road."
0,What happens if I have symptoms while traveling or when I arrive at my destination?,"If you have any symptoms of COVID-19 while you travel or when you arrive at your destination, notify health authorities immediately and follow their guidance. You may be required to quarantine or isolate yourself. Your travel companions may also be required to quarantine, since they have been in contact with you."
0,"If I am asked to take a COVID-19 test at my destination, how much will it cost?","In most places, you should not be charged for physical exams, testing or vaccination. The International Health Regulations (IHR) are an instrument of international law that is legally binding in 196 countries, including the 194 WHO Member States. The IHR includes important safeguards to protect the rights of travelers in the application of health measures. In accordance with the IHR (2005), you should not be charged by the country for:examinations to determine your      health status;required vaccinations or protective      equipment on arrival (if these were not published at least 10 days      earlier);appropriate isolation or quarantine facilities;required certificates at the point      of entry that show or document the measures taken to allow your entry; and      any baggage accompanying you."
0,Are there any special precautions I should take after I arrive at my destination?,"As you plan your trip, make sure you are aware of the requirements and policies in place at your point of departure and at your destination. Follow them. Be sure to practice COVID-19 prevention measures – wear a mask, maintain physical distance of at least one metre from others, wash your hands frequently, and avoid crowded or poorly ventilated places and settings.Monitor yourself for COVID-19 symptoms  for 14 days after you travel, and notify public health agencies at your destination immediately if you develop symptoms such as fever, cough, sore throat or headache. Seek immediate medical attention if you have serious symptoms such as difficulty breathing or shortness of breath, chest pain or pressure, or loss of speech or movement."
0,How can ventilation reduce the risk of contracting COVID-19 in airplanes?,"Some airplanes have cabin air filtration systems equipped with HEPA filters which can remove viruses and germs quickly, minimizing the duration of the exposure to any potential infectious materials produced by a cough or sneeze. The cabin air system is designed to operate most efficiently by delivering approximately 50 percent outside air and 50 percent filtered, recirculated air. The air supply is essentially sterile and particle-free.  However, adequate ventilation is just one of the preventive measures to reduce the risk of COVID-19 transmission.  Other important measures include maintaining physical distance of at least 1 meter whenever possible, frequent hand hygiene and wearing a mask. Passengers should check with the airline company and the national or local guidelines about when and where to wear a mask while flying."
0,What should I do if I get sick while traveling?,"If you become ill during your travel, inform your travel attendant (plane, ship, train, etc.). You may be moved to a seat farther away from others. Ask for information on how to be seen by a health care provider and seek care immediately. Wear a mask continuously while you travel, frequently clean your hands with hand sanitizer, cover a cough or sneeze with a bent elbow or tissue, and maintain at least a 1 metre distance from others wherever possible. You should stop travelling as soon as feasible.If you are told you must quarantine or self-isolate yourself in a specific place, you should be provided with free, appropriate facilities and care, and not be asked to stay longer than 14 days."
0,"Are people with tuberculosis likely to be at increased risk of COVID-19 infection, illness and death?","While experience on COVID-19 infection in tuberculosis (TB) patients remains limited, it is anticipated that people ill with both TB and COVID-19 may have poorer treatment outcomes, especially if TB treatment is interrupted. Older age, diabetes and chronic      obstructive pulmonary disease (COPD) are linked with more severe COVID-19 and are      also risk factors for poor outcomes in TB.TB patients should take precautions as advised by health authorities to be protected from COVID-19 and continue their TB treatment as prescribed.People ill with COVID-19 and TB show similar symptoms such as cough, fever and
difficulty breathing. Both diseases attack primarily the lungs and although both
biological agents transmit mainly via close contact, the incubation period from
exposure to disease in TB is longer, often with a slow onset."
0,Do COVID-19 and tuberculosis spread in the same way?,"While both tuberculosis (TB) and COVID-19 spread by close contact between people the exact mode of transmission differs, explaining some differences in infection control measures to mitigate the two conditions.  TB bacilli remain suspended in the air in droplet nuclei for several hours after a TB patient coughs, sneezes, shouts, or sings, and people who inhale them can get infected. The size of these droplet nuclei is a key factor determining their infectiousness. Their concentration decreases with ventilation and exposure to direct sunlight.  COVID-19 transmission has primarily been attributed to the direct breathing of droplets expelled by someone with COVID-19 (people may be infectious before clinical features become apparent). Droplets produced by coughing, sneezing, exhaling and speaking may land on objects and surfaces, and contacts can get infected with COVID-19 by touching them and then touching their eyes, nose or mouth . Handwashing, in addition to respiratory precautions, are thus important in the control of COVID-19."
0,What is the potential impact of COVID-19 pandemic on essential tuberculosis services?,"Modelling work suggests that if the COVID-19 pandemic led to a global reduction of 25% in expected TB detection for 3 months – a realistic possibility given the levels of disruption in TB services being observed in multiple countries – then we could expect a 13% increase in TB deaths, bringing us back to the levels of TB mortality that we had 5 years ago. This may even be a conservative estimate as it does not factor in other possible impacts of the pandemic on TB transmission, treatment interruptions and poorer outcomes in people with TB and COVID-19 infection (Predicted impact of the COVID-19 pandemic on global tuberculosis deaths in 2020, P. Glaziou). Between 2020 and 2025 an additional 1.4 million TB deaths could be registered as a direct consequence of the COVID-19 pandemic (Stop TB Partnership analysis).All measures should be taken to ensure continuity of services for people who need preventive and curative treatment for tuberculosis (TB)."
0,What should health authorities do to provide sustainability of essential tuberculosis services during the COVID-19 pandemic?,"People-centred delivery of tuberculosis (TB) prevention, diagnosis, treatment and care services should be ensured in tandem with the COVID-19 response.Prevention: Measures must be implemented to limit transmission of TB and COVID-19 in congregate settings and health care facilities. Administrative, environmental and personal protection measures apply to both (e.g. basic infection prevention and control, cough etiquette, patient triage). Provision of TB preventive treatment should be maintained as much as possible.Diagnosis: Tests for TB and COVID-9 are different and both should be made available for individuals with respiratory symptoms, which may be similar for the two diseases. Treatment and care: People-centred outpatient and community-based care should be strongly preferred over hospital treatment for TB patients (unless serious conditions require hospitalization) to reduce opportunities for transmission. Anti-TB treatment, in line with the latest WHO guidelines, must be provided for all TB patients, including those in quarantine and those with confirmed COVID-19 disease. Adequate stocks of TB medicines should be provided to all patients to reduce trips to collect medicines.Use of digital health technologies for patients and programmes should be intensified. In line with WHO recommendations, technologies like electronic medication monitors and video-supported therapy can help patients complete their TB treatment."
0,How can health authorities ensure supplies of tuberculosis medicines and diagnostics?,"Appropriate planning and monitoring are essential to ensure that procurement and supply of tuberculosis (TB) medicines and diagnostics are not interrupted. WHO is monitoring medicine supply at the global level, while The Global Fund, the Stop TB Partnership Global Drug Facility (GDF), USAID, Unitaid and other donors play an essential role in supporting countries to secure adequate and sustainable supplies of TB medicines, drugs and diagnostics. Countries are advised to place their orders for 2020 delivery as soon as possible given anticipated delays in transport and delivery mechanisms."
0,What services can be leveraged across both diseases?,"The response to COVID-19 can benefit from the capacity building efforts developed for tuberculosis (TB) over many years of investment by national authorities and donors. These include infection prevention and control, contact tracing, household and community-based care, and surveillance and monitoring systems.Although modes of transmission of the two diseases are slightly different, administrative, environmental and personal protection measures apply to both (e.g. basic infection prevention and control, cough etiquette, patient triage). TB laboratory networks have been established in countries with the support of WHO and international partners. These networks as well as specimen transportation mechanisms could also be used for COVID-19 diagnosis and surveillance.Respiratory physicians, pulmonology staff of all grades, TB specialists and health workers at the primary health care level may be points of reference for patients with pulmonary complications of COVID-19. They should familiarize themselves with the most current WHO recommendations for the supportive treatment and containment of COVID-19. TB programme staff with their experience and capacity, including in active case finding and contact tracing, are well placed to support the COVID-19 response.Various digital technologies used in TB programmes can      support the COVID-19 response, including adherence support, electronic      medical records and eLearning."
0,"What measures should be in place to protect staff working in tuberculosis laboratories and healthcare facilities, and community health workers, from COVID-19 infection?","Health care facilities, including those that diagnose and care for tuberculosis (TB) and lung diseases, are bound to receive patients with COVID-19, many of whom may be undiagnosed. Additional measures may be needed to avoid that staff in these centres are exposed to
    COVID-19 infection.The Information Note includes additional, temporary measures that should be considered. These include alternative arrangements to reduce visits for TB follow-up, precautions for sputum collection, transportation and testing. The note also includes a description of ethical obligations in this setting.Existing WHO recommendations for infection prevention and control for TB and for COVID-19 should be strictly implemented, including personal protection equipment. Lessons learnt over many years of TB infection prevention and control, contact tracing, investigation
    and management can benefit efforts to stop the spread of COVID-19."
0,How can we protect people seeking tuberculosis care during the COVID-19 pandemic?,"In a context of widespread restriction of movement of the population in response to the pandemic and isolation of COVID-19 patients, communication with the healthcare services should be maintained so that people with tuberculosis (TB), especially those most vulnerable, get essential services. This includes management of adverse drug reactions and co-morbidities, nutritional and mental health support, and restocking of the supplies of medicines. Enough TB medicines will need to be dispensed to the patient or caregiver to last until the next visit. This will limit interruption or unnecessary visits to the clinic. Mechanisms to deliver medicines at home and even to collect specimens for follow-up testing may become expedient. Home-based TB treatment is bound to become more common. Alternative arrangements to reduce clinic visits may involve limiting appointments to specific times to avoid exposure to other clinic attendees; using digital technologies to maintain treatment support. Community health workers become more critical as treatment is more decentralized.More TB patients will probably start their treatment at home and therefore limiting the risk of household transmission of TB during the first few weeks is important. Vulnerable populations who have poor access to healthcare should not get further marginalized during the pandemic."
0,Can tuberculosis and COVID-19 be tested on the same type of specimen?,"The diagnostic methods for tuberculosis (TB) and COVID-19 are quite distinct and commonly require different specimens.  Sputum, as well as many other biological specimens, can be used to diagnose TB using culture or molecular techniques.Tests for COVID-19 are done most commonly by nasopharyngeal or oropharyngeal swab or wash in ambulatory patients, but sputum or endotracheal aspirate or bronchoalveolar lavage may be used in patients with severe respiratory disease.  Molecular testing is the currently recommended method for the identification of infectious COVID-19 and just as for TB, serological assays are not recommended for the routine diagnosis of COVID-19.The pipeline for COVID-19 diagnostics has flourished impressively within a few months. Amongst these is the Xpert® Xpress SARS-CoV-2 cartridge for use on GeneXpert machines, which are machines used in TB diagnosis. WHO is currently evaluating this cartridge as well as other tests. Additional resources to roll out COVID-19 testing should be mobilized rather than relying only on existing resources that are used for TB, to ensure that the diagnostic coverage for TB is maintained as necessary."
0,Should all people being evaluated for tuberculosis also be tested for COVID-19 and vice-versa?,"Testing of the same patient for both tuberculosis (TB) and COVID-19 would generally be indicated for three main reasons, subject to the specific setting in each country:clinical features that are common to both diseases; or simultaneous exposure to both diseases; orpresence of a risk factor As the pandemic advances, more people of all ages, including TB patients, will be exposed to COVID-19. The Information Note contains further considerations for simultaneous testing for the two diseases."
0,Is tuberculosis treatment different in people who have both TB and COVID-19?,"In most cases tuberculosis (TB) treatment is not different in people with or without COVID-19 infection. Experience on joint management of both COVID-19 infection and TB remains limited. However, suspension of TB treatment in COVID-19 patients should be exceptional. TB preventive treatment, treatment for drug-susceptible or drug-resistant TB disease should continue uninterrupted to safeguard the patient’s health, reduce transmission and prevent the development of drug-resistance. While treatment trials are ongoing, no medication is currently recommended for COVID-19 and therefore no cautions on drug-drug interactions are indicated at present. TB patients on treatment should nonetheless be asked if they are taking any medicines, including traditional cures, that may interact with their medication.Effective treatments to prevent TB and to treat active TB have been scaled up and are in use worldwide. The risk of death in TB patients approaches 50% if left untreated and may be higher in the elderly or in the presence of comorbidity. It is critical that TB services are not disrupted during the COVID-19 response.  Gathering evidence as this pandemic unfolds will be very important, while upholding the norms of professional conduct and patient confidentiality when handling clinical details."
0,Does the BCG vaccine protect people from COVID-19?,"There is no evidence at this point that the Bacille Calmette-Guérin vaccine (BCG) protects people against infection with COVID-19 virus. Clinical trials addressing this question are underway, and WHO will evaluate the evidence when it is available. In the absence of evidence, WHO does not recommend BCG vaccination for the prevention of COVID-19. WHO continues to recommend reserving BCG for neonatal vaccination in settings with a high risk of tuberculosis.More information"
0,"As safe and effective vaccines for COVID-19 are approved, who should be the first to receive them?","WHO believes that everyone, everywhere who could benefit from safe and effective COVID-19 vaccines should have access as quickly as possible, starting with those at highest risk of serious disease or death. WHO’s Strategic Advisory Group of Experts on Immunization (SAGE) has released two key documents to help guide the allocation and prioritization of populations to receive COVID-19 vaccines:The Values Framework for the allocation and prioritization of COVID-19 vaccination, which offers high-level guidance globally on the values and ethical considerations regarding allocation of COVID-19 vaccines between countries, and offers guidance nationally on the prioritization of groups for vaccination within countries while supply is limited.  The Roadmap for Prioritizing Population Groups for Vaccines against COVID-19, which recommends public health strategies and target priority groups for different levels of vaccine availability and epidemiologic settings.  Examples of target priority groups include frontline health and care workers at high risk of infection, older adults, and those people at high risk of death because of underlying conditions like heart disease and diabetes. In addition, WHO led the development of a Fair Allocation Framework that aims to ensure that successful COVID-19 vaccines and treatments are shared equitably across all countries. This framework a key part of the Access to COVID-19 Tools (ACT) Accelerator, a global collaboration to accelerate development, production, and equitable access to COVID-19 tests, treatments, and vaccines. The framework advises that as safe and effective COVID-19 vaccines are authorized for use, all countries should receive doses in proportion to their population size to immunize the highest-priority groups. In the second phase, vaccines would continue to be deployed to all countries so that additional populations can be covered according to national priorities."
0,What is WHO doing to ensure that COVID-19 vaccines will be allocated fairly?,"WHO is one of the leaders of a global alliance known as COVAX, the vaccine pillar of the ACT-Accelerator collaboration, which is working to accelerate the development and manufacturing of COVID-19 vaccines and ensure that there is fair and equitable access to these vaccines for all countries.COVAX will allocate vaccines across countries according to a framework developed by a group that includes ethicists, scientists, and other health experts and vetted by WHO’s Member States. Under this framework, COVID-19 vaccines will be rolled out in two phases. In the first phase, they will be allocated according to population size to all participating countries at the same time, so as to protect those people at greatest risk of infection and of severe disease.WHO’s Strategic Advisory Group of Experts (SAGE) has provided recommendations about which populations should be prioritized first. These include frontline health and care workers at high risk of infection, older adults, and those people at high risk of death because of underlying conditions like heart disease and diabetes. In the second phase of the roll-out, as more doses are produced, vaccines can go to groups less at risk of being infected or of suffering badly.COVAX aims to provide at least 2 billion vaccine doses by the end of 2021. The Facility has achieved that goal and additionally has the possibility to increase those doses by another 1 billion as right of first refusal for several candidates in clinical trials supported by CEPI. Although these doses are not enough for everyone in all countries, it may be enough to end the acute stage of the crisis and put the world on the road to ending the pandemic."
0,How is WHO helping countries prepare for COVID-19 vaccines?,"Along with accelerating COVID-19 vaccine research and helping scale up manufacturing capacity, WHO is working in close partnership with countries, regional colleagues, and other partners to develop needed policies, strengthen regulatory capacity, training courses, and guide countries in all the needed preparations for a programme to deliver COVID-19 vaccines. WHO, UNICEF, and partners are supporting countries in preparing for COVID-19 vaccine introduction. The Country Readiness and Delivery workstream – which is part of the ACT Accelerator – has developed a toolbox with guidance, tools, and trainings.For example, WHO’s Strategic Advisory Group of Experts (SAGE) has issued interim policy recommendations for the rollout of the first COVID-19 vaccine approved for emergency use, the Pfizer-BioNTech COVID-19 vaccine. These recommendations can guide and support country decision-making bodies, such as the National Immunization Technical Advisory Groups, on the optimal use of existing COVID-19 vaccines. SAGE is expected to review other vaccines in the coming months.WHO has also developed detailed technical guidance and adaptable planning tools and templates to help countries plan for COVID-19 vaccines considering the many aspects of readiness that need to be put in place. These areas include planning and implementation, data and monitoring, supply and logistics, and acceptance and demand. To support initial preparations, a vaccine introduction readiness assessment tool (VIRAT) has been developed and disseminated. It provides countries with an integrated roadmap of milestones and a framework for self-monitoring progress in preparing for vaccine introduction. This will help ensure that COVID-19 vaccines reach those in need as soon as they are available.WHO advises every country to develop a National Deployment and Vaccination Plan (NDVP) for COVID-19 vaccines.  Having one plan in each country, that comprehensively describes all elements of the country’s approach to COVID-19 vaccine rollout will be crucial for a coordinated effort. Guidance on developing that plan is available from WHO, including all elements that a country needs to consider."
0,How is the research and development process being accelerated without compromising safety?,"WHO and its partners are committed to accelerating the development of COVID-19 vaccines while maintaining the highest standards on safety.In the past, vaccines have been developed through a series of steps that can take many years. Now, given the urgent need for COVID-19 vaccines, unprecedented financial investments and scientific collaborations are changing how vaccines are developed. This means that some of the steps in the research and development process have been happening in parallel, while still maintaining strict clinical and safety standards. For example, some clinical trials are evaluating multiple vaccines at the same time. However, this does not make the studies any less rigorous.More information about COVID-19 vaccine development is available here."
0,What are human challenge studies? What is WHO’s view on these studies?,"In a regular vaccine study, one group of volunteers at risk for a disease is given an experimental vaccine, and another group is not; researchers monitor both groups over time and compare outcomes to see if the vaccine is safe and effective.In a human challenge vaccine study, healthy volunteers are given an experimental vaccine, and then deliberately exposed to the organism causing the disease to see if the vaccine works. Some scientists believe that this approach could accelerate COVID-19 vaccine development, in part because it would require far fewer volunteers than a typical study. However, there are important ethical considerations that must be addressed – particularly for a new disease like COVID-19, which we do not yet fully understand and are still learning how to treat; it may be difficult for the medical community and potential volunteers to properly estimate the potential risks of participating in a COVID-19 human challenge study. For more information, see this WHO publication on the ethics of COVID-19 human challenge studies."
0,Who should participate in clinical trials for COVID-19 vaccines?,"Small (phase I) safety studies of COVID-19 vaccines should enroll healthy adult volunteers. Larger (phase II and III) studies should include volunteers that reflect the populations for whom the vaccines are intended. This means enrolling people from diverse geographic areas, racial and ethnic backgrounds, genders, and ages, as well as those with underlying health conditions that put them at higher risk for COVID-19. Including these groups in clinical trials is the only way to make sure that a vaccine will be safe and effective for everyone who needs it."
0,How do I volunteer for a COVID-19 vaccine trial?,"Opportunities to volunteer for a COVID-19 vaccine trial vary from country to country. If you are interested in volunteering, check with local health officials or research institutions."
0,Is there a vaccine for COVID-19?,"Yes there are now several vaccines that are in use. The first mass vaccination programme started in early December 2020 and the number of vaccination doses administered is updated on a daily basis here.
 At least 13 different vaccines (across 4 platforms) have been administered.The Pfizer/BioNtech Comirnaty vaccine was listed for WHO Emergency Use Listing (EUL) on 31 December 2020. The SII/Covishield and AstraZeneca/AZD1222 vaccines (developed by AstraZeneca/Oxford and manufactured by the State Institute of India and SK Bio
    respectively) were given EUL on 16 February. The Janssen/Ad26.COV 2.S developed by Johnson & Johnson, was listed for EUL on 12 March 2021. The Moderna COVID-19 vaccine (mRNA 1273) was listed for EUL on 30 April 2021 and the Sinopharm COVID-19
    vaccine was listed for EUL on 7 May 2021. The Sinopharm vaccine is produced by Beijing Bio-Institute of Biological Products Co Ltd, subsidiary of China National Biotec Group (CNBG). The Sinovac-CoronaVac was listed for EUL on 1 June 2021.For further information, see here.WHO is on track to EUL other vaccine products through June. The products and progress in regulatory review by WHO is provided by WHO and updated regularly. The document is provided here.Once vaccines are demonstrated to be safe and efficacious, they must be authorized by national regulators, manufactured to exacting standards, and distributed. WHO is working with partners around the world to help coordinate key steps in this process,
    including to facilitate equitable access to safe and effective COVID-19 vaccines for the billions of people who will need them. More information about COVID-19 vaccine development is available  here."
0,When will COVID-19 vaccines be ready for distribution?,"The first COVID-19 vaccines have already begun to be introduced in countries. Before COVID-19 vaccines can be delivered:The vaccines must be proven safe and effective in large (phase III) clinical trials.  Some COVID-19 vaccine candidates have completed their phase III trials, and many other potential vaccines are being developed.Independent reviews of the efficacy and safety evidence is required for each vaccine candidate, including regulatory review and approval in the country where the vaccine is manufactured, before WHO considers a vaccine candidate for prequalification.
        Part of this process also involves the Global Advisory Committee on Vaccine Safety.In addition to review of the data for regulatory purposes, the evidence must also be reviewed for the purpose of policy recommendations on how the vaccines should be used.An external panel of experts convened
 by WHO, called the Strategic Advisory Group of Experts on Immunization (SAGE), analyzes the results from clinical trials, along with evidence on the disease, age groups affected, risk factors for disease, programmatic use, and other information.
        SAGE then recommends whether and how the vaccines should be used.Officials in individual countries decide whether to approve the vaccines for national use and develop policies for how to use the vaccines in their country based on the WHO recommendations.The vaccines must be manufactured in large quantities, which is a major and unprecedented challenge – all the while continuing to produce all the other important life-saving vaccines already in use.As a final step, all approved vaccines will require distribution through a complex logistical process, with rigorous stock management and temperature control.WHO is working with partners around the world to accelerate every step of this process, while also ensuring the highest safety standards are met. More information is available here."
0,Will COVID-19 vaccines provide long-term protection?,"Because COVID vaccines have only been developed in the past months, it’s too early to know the duration of protection of COVID-19 vaccines. Research is ongoing to answer this question. However, it’s encouraging that available data suggest that most people who recover from COVID-19 develop an immune response that provides at least some period of protection against reinfection – although we’re still learning how strong this protection is, and how long it lasts."
0,How quickly could COVID-19 vaccines stop the pandemic?,"The impact of COVID-19 vaccines on the pandemic will depend on several factors. These include the effectiveness of the vaccines; how quickly they are approved, manufactured, and delivered; the possible development of other variants and how many people get vaccinated
Whilst trials have shown several COVID-19 vaccines to have high levels of efficacy, like all other vaccines, COVID-19 vaccines will not be 100% effective. WHO is working to help ensure that approved vaccines are as effective as possible, so they can have the greatest impact on the pandemic."
0,What types of COVID-19 vaccines are being developed? How would they work?,"Scientists around the world are developing many potential vaccines for COVID-19. These vaccines are all designed to teach the body’s immune system to safely recognize and block the virus that causes COVID-19.Several different types of potential vaccines for COVID-19 are in development, including:Inactivated or weakened virus vaccines, which use a form of the virus that has been inactivated or weakened so it doesn’t cause disease, but still generates an immune response.Protein-based vaccines, which use harmless fragments of proteins or protein shells that mimic the COVID-19 virus to safely generate an immune response.Viral vector vaccines, which use a safe virus that cannot cause disease but serves as a platform to produce coronavirus proteins to generate an immune response.RNA and DNA vaccines, a cutting-edge approach that uses genetically engineered RNA or DNA to generate a protein that itself safely prompts an immune response.For more information about all COVID-19 vaccines in development, see this WHO publication, which is being updated regularly."
0,Will other vaccines help protect me from COVID-19?,"Currently, there is no evidence that any other vaccines, apart from those specifically designed for the SARS-Cov-2 virus,  will protect against COVID-19.However, scientists are studying whether some existing vaccines – such as the Bacille Calmette-Guérin (BCG) vaccine, which is used to prevent tuberculosis – are also effective for COVID-19. WHO will evaluate evidence from these studies when available."
0,What are the benefits of getting vaccinated?,"The COVID-19 vaccines produce protection against the disease, as a result of developing an immune response to the SARS-Cov-2 virus.  Developing immunity through vaccination means there is a reduced risk of developing the  illness and its consequences.
    This immunity helps you fight the virus if exposed. Getting vaccinated may also protect people around you, because if you are protected from getting infected and from disease, you are less likely to infect someone else. This is particularly important
    to protect people at increased risk for severe illness from COVID-19, such as healthcare providers, older or elderly adults, and people with other medical conditions."
0,Who should get the COVID-19 vaccines?,"The COVID-19 vaccines are safe for most people 18 years and older, including those with pre-existing conditions of any kind, including auto-immune disorders. These conditions include: hypertension, diabetes, asthma, pulmonary, liver and kidney disease, as well as chronic infections that are stable and controlled. If supplies are limited in your area, discuss your situation with your care provider if you:Have a compromised immune systemAre pregnant or nursing your babyHave a history of severe allergies, particularly to a vaccine (or any of the ingredients in the vaccine)Are severely frail"
0,Can we stop taking precautions after being vaccinated?,"Vaccination protects you from getting seriously ill and dying
from COVID-19. For the first fourteen days after getting a vaccination, you do
not have significant levels of protection, then it increases gradually. For a
single dose vaccine, immunity will generally occur two weeks after vaccination.
For two-dose vaccines, both doses are needed to achieve the highest level of
immunity possible. While a COVID-19 vaccine will protect you from serious illness
and death, we are still learning about the extent to which it keeps you from
being infected and passing the virus on to others (transmission). The data that
is emerging from countries is showing that the vaccines that are currently in
use are protecting against severe disease and hospitalization. However, no
vaccine is 100% effective and breakthrough infections are regrettable, but to
be expected. The current evidence shows that vaccines provide some protection
from infection and transmission, but that protection is less than that for
serious illness and death. We are still learning also about the variants of
concern and whether the vaccines are as protective against these strains as the
non-variant virus.  For these reasons,
and while many of those in the community may not yet be vaccinated, maintaining
other prevention measures is important especially in communities where SARS
CoV-2 circulation is significant. To help keep you and others safe, and while efforts
continue to reduce viral transmission and ramp up vaccine coverage, you should continue
to maintain at least a 1-metre distance from others, cover a cough or sneeze in
your elbow, clean your hands frequently and wear a mask, particularly in
enclosed, crowded or poorly ventilated spaces. Always follow guidance from
local authorities based on the situation and risk where you live."
0,Can I have the second dose with a different vaccine than the first dose?,Clinical trials in some countries are looking at whether you can have a first dose from one vaccine and a second dose from a different vaccine. There isn't enough data yet to recommend this type of combination.
0,"Can the COVID-19 vaccine cause a positive test result for the disease, such as for a PCR or antigen test?","No, the COVID-19 vaccine will not cause a positive test result for a COVID-19 PCR or antigen laboratory test. This is because the tests check for active disease and not whether an individual is immune or not. However, because the COVID-19 vaccine prompts an immune response, it may be possible to test positive in an antibody (serology) test that measures COVID-19 immunity in an individual."
0,Should I be vaccinated if I have had COVID-19?,"Even if you have already had COVID-19, you should be vaccinated when it is offered to you. The protection that someone gains from having COVID-19 will vary from person to person, and we also don’t know how long natural immunity might last."
0,Is the vaccine safe for children?,"Vaccines are usually tested in adults first, and only later assessed in children when safety has been proven in adults, because children are still developing and growing. COVID-19 has also been a more serious and dangerous disease among older people. Now that the vaccines have been determined to be safe for adults, they are being studied in children.  WHO's Strategic Advisory Group of Experts (SAGE) has concluded that the Pfizer/BionTech vaccine is suitable for use by people aged 12 years and above. Children aged between 12 and 15 who are at higher risk of severe COVID-19 may be offered this vaccine alongside other priority groups for vaccination. Vaccine trials for children are ongoing and WHO will update its recommendations when the evidence or epidemiological situation justifies a change in policy. While the supply of vaccines is limited, the ongoing priority is to vaccinate those most at risk of serious illness who still have not been vaccinated in many parts of the world: older people, those with chronic health conditions, and health workers.  Most children are at low risk of serious disease and vaccinating them is primarily about reducing transmission, which can also be achieved through public health measures, including: physically distancing from others, cleaning hands frequently, sneezing and coughing into their elbow, wearing a mask if age appropriate and avoiding crowded, poorly ventilated spaces."
